"Name","Gross Export","Share"
"Aruba","9818718","0.0006610911296520282"
"Afghanistan","153326204","0.010323404074505176"
"Angola","501491965","0.033765292948963944"
"Albania","213091257","0.014347365899407709"
"Andorra","52891873","0.0035611928228289685"
"United Arab Emirates","15224312956","1.025048102029007"
"Argentina","3266950649","0.2199627380137444"
"Armenia","178876691","0.012043710158658877"
"Antigua and Barbuda","13153879","0.0008856464486928019"
"Australia","10395937813","0.6999551542867821"
"Austria","72908784135","4.908925021103877"
"Azerbaijan","1066186998","0.07178602816865956"
"Burundi","19495393","0.0013126185497312625"
"Belgium","55481507868","3.7355521068284077"
"Benin","104357684","0.00702636934917872"
"Bonaire","1202152","0.00008094050808806658"
"Burkina Faso","73464535","0.004946343548364558"
"Bangladesh","768683769","0.05175523130345414"
"Bulgaria","4359283161","0.29350913524337435"
"Bahrain","502330247","0.033821734206809104"
"The Bahamas","35183331","0.002368882377079291"
"Bosnia and Herzegovina","1055128321","0.07104145099775121"
"Saint Barthélemy","826054","0.000055617950532195387"
"Belarus","2442032109","0.16442123763869526"
"Belize","34681585","0.0023350999800353604"
"Bermuda","6095706","0.0004104219273398672"
"Bolivia","173759996","0.011699204727538961"
"Brazil","13945688096","0.9389587008364515"
"Barbados","19520047","0.0013142784956336135"
"Brunei","177541816","0.011953833453604892"
"Bhutan","4737643","0.0003189839816927244"
"Botswana","75943156","0.005113228304283736"
"Central African Republic","8677038","0.0005842221819033376"
"Canada","11624946758","0.7827039318565725"
"Switzerland","62606106057","4.215249014824217"
"Chile","2822877974","0.1900634674202364"
"China","99190898233","6.678491322803377"
"Côte d'Ivoire","194923067","0.013124107501434298"
"Cameroon","184394860","0.012415246705265144"
"Democratic Republic of the Congo","172397204","0.011607448379840539"
"Republic of the Congo","127342371","0.008573920943340838"
"Cook Islands","2538725","0.00017093153893673748"
"Colombia","2403480852","0.1618255938856477"
"Comoros","1453881","0.00009788934081512681"
"Cabo Verde","10844329","0.000730145188906357"
"Costa Rica","238033604","0.016026726112665982"
"Cuba","254933308","0.017164577755634534"
"Curaçao","18833476","0.0012680518906963577"
"Cayman Islands","228368427","0.01537597284923416"
"Cyprus","759225854","0.05111843292391999"
"Czechia","44154642324","2.97291788738147"
"Djibouti","10911444","0.0007346640203023292"
"Dominica","1239387","0.00008344752868002097"
"Denmark","21513971725","1.4485288070175804"
"Dominican Republic","223529632","0.015050178335866467"
"Algeria","3531115844","0.23774889575626212"
"Ecuador","553255759","0.037250532575006254"
"Egypt","3851045133","0.25928963203912314"
"Eritrea","25789406","0.0017363924236947015"
"Western Sahara","266959","0.00001797426373593536"
"Spain","46230241654","3.1126673236902316"
"Estonia","2269222923","0.15278605064310302"
"Ethiopia","319895183","0.02153843993683414"
"Finland","11642586085","0.7838915820786007"
"Fiji","11488010","0.0007734840239177656"
"Falkland Islands","3923642","0.0002641775557796998"
"France","133459197175","8.985764885280696"
"Faroe Islands","53014510","0.0035694499326540123"
"Micronesia","225074","0.000015154160137331632"
"Gabon","107325452","0.007226188215518006"
"United Kingdom","104856641348","7.059963987179067"
"Georgia","512991791","0.03453957254036699"
"Ghana","354169861","0.023846142999237964"
"Gibraltar","61746172","0.004157349930934816"
"Guinea","38932471","0.002621310769240427"
"The Gambia","11490675","0.0007736634575118991"
"Guinea-Bissau","3379535","0.00022754300621003344"
"Equatorial Guinea","26155368","0.001761032527625756"
"Greece","6446342621","0.43403017842460756"
"Grenada","1453012","0.00009783083132420676"
"Greenland","7660764","0.0005157967798604247"
"Guatemala","278821851","0.018772985684002683"
"Guam","3814983","0.0002568615802056117"
"Guyana","6232162","0.00041960946599692983"
"Hong Kong","7870906320","0.5299455947786755"
"Honduras","168393398","0.011337873407685562"
"Croatia","2968894199","0.1998946929562763"
"Haiti","25738175","0.001732943056917572"
"Hungary","26339613767","1.7734377359472124"
"Indonesia","3937022478","0.26507845906629024"
"India","11884300405","0.8001661296174821"
"Ireland","6904458754","0.4648749905351895"
"Iran","3224398517","0.21709771663183056"
"Iraq","1539782091","0.10367303368496295"
"Iceland","415905847","0.02800280711006402"
"Israel","5437685523","0.36611761994718145"
"Italy","71570489187","4.81881805204937"
"Jamaica","51182630","0.0034461100405635222"
"Jordan","922180993","0.06209015009963612"
"Japan","22777874447","1.5336269713866206"
"Kazakhstan","2356468997","0.15866030078638696"
"Kenya","426582082","0.02872163458393388"
"Kyrgyzstan","113629630","0.007650646495666948"
"Cambodia","97174953","0.006542758377687671"
"Saint Kitts and Nevis","72655327","0.0048918598336022585"
"South Korea","20826152687","1.4022181720825926"
"Kuwait","1913343808","0.12882482412097315"
"Laos","115049255","0.007746229391003412"
"Lebanon","1044940219","0.07035548936200711"
