"Name","Gross Export","Share"
"Aruba","8371544","0.000747840688583261"
"Afghanistan","315559009","0.028189288210061544"
"Angola","422888347","0.037777154681898226"
"Anguilla","1516338","0.00013545640494094815"
"Albania","274186881","0.024493463319016973"
"Andorra","41391618","0.003697565957569512"
"Netherlands Antilles","38208080","0.0034131764530705828"
"United Arab Emirates","8767360013","0.7831994371861711"
"Argentina","1937235579","0.17305572178171102"
"Armenia","202161722","0.018059364125143196"
"Antigua and Barbuda","45175850","0.004035616222208724"
"Australia","8873685033","0.7926975866518406"
"Austria","63760454189","5.695802586127867"
"Azerbaijan","617186162","0.05513402597825921"
"Burundi","14273404","0.001275061359742847"
"Belgium","57975542106","5.179029021353633"
"Benin","94122390","0.008408072984947846"
"Burkina Faso","30278322","0.002704801070582165"
"Bangladesh","428166033","0.038248617094610415"
"Bulgaria","2661589803","0.2377632072413053"
"Bahrain","427066959","0.03815043541426997"
"The Bahamas","56498688","0.005047099762955414"
"Bosnia and Herzegovina","866182068","0.07737714741409625"
"Belarus","2383458681","0.2129173998498713"
"Belize","9869920","0.0008816925251855212"
"Bermuda","16809723","0.0015016339665913335"
"Bolivia","81071125","0.007242186858746681"
"Brazil","10198950949","0.9110852789553592"
"Barbados","15911090","0.0014213579360880428"
"Brunei","50549717","0.004515670606159267"
"Bhutan","4127443","0.0003687097404263969"
"Botswana","41461776","0.003703833261071664"
"Central African Republic","4540982","0.0004056517060322676"
"Canada","7382225338","0.6594635923847162"
"Cocos (Keeling) Islands","375784","0.000033569263366300424"
"Switzerland","49887019063","4.456470955350672"
"Chile","1707366545","0.15252122818405103"
"China","52219732432","4.664855211843899"
"Côte d'Ivoire","135920872","0.0121419846218711"
"Cameroon","124138026","0.011089407980559709"
"Democratic Republic of the Congo","107952576","0.009643541116211874"
"Republic of the Congo","77869669","0.006956196716485109"
"Cook Islands","4537972","0.0004053828188983488"
"Colombia","1241827327","0.11093401687014849"
"Comoros","843573","0.00007535745057187148"
"Cabo Verde","12845365","0.0011474928169407364"
"Costa Rica","200942344","0.017950435535248277"
"Cuba","220210980","0.01967172733211397"
"Christmas Island","238752","0.000021328020264915376"
"Cayman Islands","176953858","0.01580751352608128"
"Cyprus","884053990","0.07897366897030933"
"Czechia","30557403147","2.7297317449169216"
"Djibouti","14288155","0.0012763790853615967"
"Dominica","1225314","0.00010945886033576481"
"Denmark","17845342276","1.5941471556128497"
"Dominican Republic","206789565","0.018472775234942684"
"Algeria","2265618347","0.20239057271721314"
"Ecuador","367268527","0.03280856531682089"
"Egypt","3811607628","0.3404957643575343"
"Eritrea","18337926","0.001638150287095055"
"Spain","43601891381","3.8950124939795563"
"Estonia","1180531455","0.10545837855016936"
"Ethiopia","180890294","0.016159160367906867"
"Finland","9882674191","0.8828318733129111"
"Fiji","4687211","0.0004187145288581216"
"Falkland Islands","2798251","0.00024997132603839846"
"France","113008058892","10.09515384226028"
"Faroe Islands","13376839","0.001194970066313624"
"Micronesia","130370","0.000011646118155814475"
"Gabon","65071198","0.005812893000294535"
"United Kingdom","73999589594","6.610477593721741"
"Georgia","262349461","0.023436011512773195"
"Ghana","296744855","0.02650859586914193"
"Gibraltar","55168717","0.004928291759505183"
"Guinea","37669962","0.003365105686715052"
"The Gambia","16672532","0.001489378519817426"
"Guinea-Bissau","2067969","0.00018473430479835472"
"Equatorial Guinea","32469546","0.002900545901523765"
"Greece","9216139295","0.8232894620696074"
"Grenada","2688348","0.00024015355106195852"
"Greenland","12637023","0.0011288813607098652"
