"Name","Gross Export","Share"
"Aruba","8149000","0.0014634608283706782"
"Afghanistan","13801000","0.0024784909672774242"
"Angola","37233000","0.006686591854549695"
"Anguilla","108158","0.000019423855230692824"
"Albania","62007654","0.011135816994497779"
"Andorra","32462814","0.005829924735266076"
"Netherlands Antilles","22617000","0.00406173684565709"
"United Arab Emirates","2546374331","0.4572977160126508"
"Argentina","996901444","0.1790313183261953"
"Armenia","32773446","0.005885710446891851"
"Antigua and Barbuda","21479000","0.0038573659507392067"
"Australia","3196584270","0.5740674762217303"
"Austria","29245847524","5.252196863894416"
"Azerbaijan","79499517","0.014277141858373888"
"Burundi","6245238","0.001121568435004545"
"Belgium","28185778386","5.061821399564108"
"Benin","49906304","0.008962562399405925"
"Burkina Faso","9671233","0.0017368352751927648"
"Bangladesh","173174422","0.03110001019422425"
"Bulgaria","912177369","0.1638159096892534"
"Bahrain","175458626","0.03151022532221635"
"The Bahamas","74406448","0.013362488897557959"
"Bosnia and Herzegovina","354297994","0.06362759059876176"
"Belarus","679189946","0.12197421536313613"
"Belize","19111816","0.003432248628669528"
"Bermuda","426844992","0.07665614499671071"
"Bolivia","25859106","0.004643979468362397"
"Brazil","5026974023","0.9027831105531305"
"Barbados","20741228","0.0037248711142845877"
"Brunei","21004015","0.003772064448522537"
"Bhutan","3060000","0.0005495386102361364"
"Botswana","15142069","0.002719330573320158"
"Central African Republic","4309054","0.0007738534465988445"
"Canada","4585245265","0.8234540230457271"
"Switzerland","23869072485","4.2865937650433015"
"Chile","685506170","0.12310853201637145"
"China","10714956400","1.9242752447048352"
"Côte d'Ivoire","76586956","0.013754081490998734"
"Cameroon","119182056","0.02140364098670764"
"Democratic Republic of the Congo","29489000","0.0052958640775338"
"Republic of the Congo","20097000","0.003609175637227331"
"Colombia","485673942","0.08722110559300193"
"Comoros","1833106","0.00032920343910311213"
"Cabo Verde","4585849","0.0008235624464747634"
"Costa Rica","129751378","0.023301762072661308"
"Cuba","87912020","0.015787924605833798"
"Cayman Islands","5236000","0.0009403216219596112"
"Cyprus","328773145","0.059043639603354174"
"Czechia","12891573296","2.3151690434121335"
"Djibouti","14222000","0.0025540974231301737"
"Dominica","11496771","0.0020646795939683387"
"Denmark","9168689216","1.6465845521070888"
"Dominican Republic","157313881","0.028251650828625144"
"Algeria","703275030","0.12629960215685526"
"Ecuador","199620397","0.035849384164106476"
"Egypt","1284625617","0.23070306413069258"
"Eritrea","16598000","0.002980797991078233"
"Spain","24501432352","4.400157870429017"
"Estonia","458400803","0.08232318307573495"
"Ethiopia","61561062","0.011055614528150532"
"Finland","5907359009","1.060889496722804"
"Fiji","2332000","0.00041879870557865037"
"Falkland Islands","848000","0.0001522904383922365"
"France","61230566446","10.996261564936681"
"Faroe Islands","11232979","0.002017305774010361"
"Micronesia","349000","0.00006267613561189923"
"Gabon","26040313","0.004676522031416339"
"United Kingdom","46389194362","8.33093248355147"
"Georgia","71104064","0.012769421082582125"
"Ghana","111219407","0.019973646520937"
"Gibraltar","204851000","0.036788736550811364"
"Guinea","19093520","0.003428962890626103"
"The Gambia","11382240","0.0020441112258085493"
"Guinea-Bissau","1634000","0.00029344643435485194"
"Equatorial Guinea","4412000","0.0007923412903143248"
"Greece","4508549938","0.8096804794473004"
"Grenada","1907529","0.0003425689005376232"
"Greenland","14373083","0.002581230083865568"
"Guatemala","135032659","0.024250215608937947"
"Guam","394000","0.00007075758576243064"
"Guyana","3767918","0.000676672033073112"
"Hong Kong","3720701186","0.6681924702151583"
"Honduras","37069542","0.006657236795022904"
"Croatia","1358136924","0.24390479664226838"
"Haiti","11598000","0.002082859085463631"
"Hungary","9330902403","1.6757160584292958"
"Indonesia","1281337917","0.23011263338269475"
"India","2016944940","0.3622186664217018"
"Ireland","3419331205","0.6140701040303116"
"Iran","1688765961","0.3032817317719063"
"Iraq","298640000","0.05363209495454895"
"Iceland","263532401","0.047327199149585684"
"Israel","2323351506","0.4172455417311355"
"Italy","41351996859","7.426313360909783"
"Jamaica","97597560","0.01752732924341109"
"Jordan","380894757","0.06840404425098395"
"Japan","11402650024","2.047776616731375"
"Kazakhstan","462405480","0.08304237413227894"
"Kenya","119951522","0.021541827678297168"
"Kyrgyzstan","26987019","0.004846538861332093"
"Cambodia","7861532","0.0014118350881068345"
"Kiribati","107000","0.00001921589258015248"
"Saint Kitts and Nevis","1195344","0.00021466917663859618"
"South Korea","3998947299","0.7181620722549057"
"Kuwait","658179247","0.11820095054988457"
"Laos","6311000","0.0011333784866667505"
"Lebanon","486867309","0.08743541972459726"
"Liberia","216494008","0.03887967852312777"
"Libya","481936000","0.08654981688325576"
"Saint Lucia","4577031","0.0008219788414208215"
