"Name","Gross Export","Share"
"Aruba","51977994","0.003964342374756812"
"Afghanistan","189613520","0.014461753028845213"
"Angola","511157876","0.03898582211574937"
"Anguilla","3154272","0.00024057515861633521"
"Albania","194704657","0.014850052164529294"
"Andorra","52880870","0.0040332043932862485"
"Netherlands Antilles","63294182","0.00482742384744917"
"United Arab Emirates","7954625418","0.6066963380675102"
"Argentina","2327724020","0.17753464993714982"
"Armenia","134745692","0.010277004083911549"
"Antigua and Barbuda","92998244","0.007092941668106189"
"Australia","7908812968","0.6032022394528845"
"Austria","71614168562","5.461986144815702"
"Azerbaijan","608562542","0.04641483995977841"
"Burundi","18825939","0.0014358474034662995"
"Belgium","69449555935","5.296891940484736"
"Benin","68851226","0.005251257537675616"
"Burkina Faso","22402695","0.0017086452604779738"
"Bangladesh","285972747","0.021811035627071505"
"Bulgaria","3163758904","0.2412987212750336"
"Bahrain","454834783","0.0346900806475952"
"The Bahamas","50801938","0.0038746450186817206"
"Bosnia and Herzegovina","893381015","0.06813783953585725"
"Belarus","2106628020","0.16067173980465735"
"Belize","11465465","0.0008744667742620292"
"Bermuda","557106522","0.042490308348913736"
"Bolivia","65942100","0.005029379573795233"
"Brazil","9180288201","0.700177185131544"
"Barbados","29803373","0.0022730922338900393"
"Brunei","36648050","0.002795133216707178"
"Bhutan","2543984","0.0001940287186131757"
"Botswana","35495665","0.002707241239045744"
"Central African Republic","4886014","0.0003726544803528784"
"Canada","8564513504","0.6532122767778253"
"Cocos (Keeling) Islands","2460999","0.000187699483360865"
"Switzerland","49278540552","3.758456058855706"
"Chile","1585533411","0.12092804673877965"
"China","40703231097","3.1044203788887335"
"Côte d'Ivoire","136572263","0.010416315978399088"
"Cameroon","126932008","0.009681057295658057"
"Democratic Republic of the Congo","91766020","0.00699896039944868"
"Republic of the Congo","61997538","0.0047285292892218144"
"Cook Islands","12252007","0.000934456041645568"
"Colombia","1199510814","0.09148624606250169"
"Comoros","878896","0.00006703307280008273"
"Cabo Verde","17253702","0.0013159334690759008"
"Costa Rica","180828912","0.0137917542262745"
"Cuba","289297984","0.02206465022299472"
"Christmas Island","1026000","0.00007825264046358714"
"Cayman Islands","146978000","0.011209957690114142"
"Cyprus","1184948079","0.09037555165107725"
"Czechia","35493821393","2.7071006278218386"
"Djibouti","28257492","0.002155188461870068"
"Dominica","2247852","0.00017144284051789013"
"Denmark","20853326995","1.5904755358765603"
"Dominican Republic","202754182","0.015463986458610829"
"Algeria","1637447169","0.12488748985757857"
"Ecuador","316645505","0.024150435533309922"
"Egypt","2885968570","0.2201117552606459"
"Eritrea","16938495","0.0012918927477868112"
"Spain","65500651201","4.995710437195595"
"Estonia","1989459861","0.15173536766040063"
"Ethiopia","159889907","0.012194744060650473"
"Finland","13999071219","1.0677039833572686"
"Fiji","5404083","0.00041216741133955493"
"Falkland Islands","3394498","0.0002588971067722862"
"France","127523258150","9.726151725884169"
"Faroe Islands","30600079","0.002333856705793726"
"Gabon","62823862","0.004791552715029254"
"United Kingdom","96550633894","7.363881131226717"
"Georgia","294506354","0.02246189067622214"
"Ghana","269088490","0.020523279591481057"
"Gibraltar","1140387587","0.08697693940998898"
"Guinea","38582433","0.00294266789255306"
"The Gambia","10334560","0.0007882130682547458"
"Guinea-Bissau","1662000","0.00012676012519540137"
"Equatorial Guinea","37376007","0.0028506542278123937"
"Greece","10638401586","0.8113869536223326"
"Grenada","3571074","0.0002723644929735516"
"Greenland","3637576","0.0002774365759132295"
"Guatemala","190066437","0.014496296840892821"
"Guam","6571501","0.0005012059503500032"
"Guyana","6094771","0.00046484592960126454"
"Hong Kong","6156292388","0.469538143106123"
"Honduras","126465603","0.009645484758839909"
"Croatia","3757184814","0.2865590959114927"
"Haiti","11000492","0.0008390034555541584"
"Hungary","23614906501","1.8011001832397462"
"Indonesia","2139320278","0.1631651662288453"
"India","9982096716","0.7613308239667659"
"Ireland","8596505022","0.65565225802143"
"Iran","4927167996","0.37579328040417265"
"Iraq","435969017","0.033251195653571645"
"Iceland","854238558","0.06515245881998745"
"Israel","3512031310","0.26786132884823677"
"Italy","88280318210","6.733107213351067"
"Jamaica","43651661","0.0033292960369116845"
"Jordan","989891183","0.07549863434831769"
"Japan","17578454177","1.3407021974838425"
"Kazakhstan","2675118328","0.2040302853007177"
"Kenya","285105083","0.0217448592147565"
"Kyrgyzstan","91091620","0.006947524160921738"
"Cambodia","28133191","0.0021457080705813113"
"Kiribati","1063501","0.0000811128278612723"
"Saint Kitts and Nevis","4360670","0.00033258668780735914"
"South Korea","11734342762","0.8949739817069026"
"Kuwait","1431148293","0.10915315089883573"
"Laos","31387506","0.002393913471799887"
"Lebanon","628245157","0.04791602572486438"
"Liberia","268573000","0.02048396335987036"
"Libya","916172325","0.06987612431862934"
"Saint Lucia","15684926","0.0011962835038752144"
"Sri Lanka","196056718","0.014953173356846875"
"Lesotho","12308506","0.0009387651994755409"
"Lithuania","3267416681","0.249204661581891"
"Luxembourg","5985124817","0.4564832557840095"
"Latvia","2278934452","0.17381348763395513"
"Macao","78010821","0.005949856460021689"
