"Name","Gross Export","Share"
"Aruba","4618990","0.0005136481979752832"
"Afghanistan","116203513","0.012922245999850054"
"Angola","96233493","0.010701508395626972"
"Anguilla","3600533","0.00040039213923401886"
"Albania","110128109","0.012246639359313525"
"Andorra","41125813","0.004573337404436571"
"Netherlands Antilles","39205011","0.004359737356381191"
"United Arab Emirates","4386535425","0.48779841835682547"
"Argentina","1143116092","0.12711859534927508"
"Armenia","61461530","0.0068347418221957204"
"Antigua and Barbuda","23692002","0.002634635306360656"
"Australia","5707439416","0.634687663554479"
"Austria","48490687467","5.392337769946937"
"Azerbaijan","298199915","0.03316089642457175"
"Burundi","8515641","0.0009469697172443412"
"Belgium","50770070607","5.6458133224716756"
"Benin","45551649","0.005065506187208159"
"Burkina Faso","19251399","0.002140824380406359"
"Bangladesh","274399769","0.030514235118864513"
"Bulgaria","1921633402","0.2136925029295177"
"Bahrain","326520028","0.03631019421670951"
"The Bahamas","10783917","0.0011992101161000615"
"Bosnia and Herzegovina","651594786","0.07245966924349052"
"Belarus","1143269500","0.1271356548672119"
"Belize","4798451","0.0005336049026351423"
"Bermuda","17355494","0.0019299929677420475"
"Bolivia","33975816","0.0037782321813079906"
"Brazil","5715965619","0.6356358078038759"
"Barbados","18694473","0.0020788922185472555"
"Brunei","56797893","0.006316128718235578"
"Bhutan","99009507","0.011010211074925728"
"Botswana","10166635","0.0011305661513063342"
"Central African Republic","2506768","0.00027876156171416366"
"Canada","5953536623","0.6620545526151396"
"Cocos (Keeling) Islands","735000","0.00008173462716131301"
"Switzerland","34636398466","3.851691312692767"
"Chile","1135575352","0.1262800381078868"
"China","25915736452","2.881922525870842"
"Côte d'Ivoire","96306593","0.010709637376913357"
"Cameroon","93475195","0.010394775798851742"
"Democratic Republic of the Congo","64386999","0.007160064431701815"
"Republic of the Congo","26632532","0.0029616327529003237"
"Cook Islands","5307228","0.0005901827235919469"
"Colombia","736614447","0.08191415943834253"
"Comoros","1469376","0.0001633998632922197"
"Cabo Verde","7267457","0.0008081671949739786"
"Costa Rica","203999200","0.022685440208443708"
"Cuba","137647420","0.015306885106689334"
"Christmas Island","451000","0.000050152812040479133"
"Cayman Islands","11041003","0.0012277989982203243"
"Cyprus","623678448","0.06935527267459367"
"Czechia","21861021657","2.431023747619434"
"Djibouti","11717496","0.0013030274378560225"
"Dominica","1539246","0.00017116965703339103"
"Denmark","13744751708","1.5284655187458507"
"Dominican Republic","116037035","0.012903733051196228"
"Algeria","1208913494","0.13443550163587784"
"Ecuador","208485937","0.023184381400097948"
"Egypt","1751331292","0.19475429957491242"
"Eritrea","8752511","0.0009733105079051576"
"Spain","45399486216","5.0485851417414"
"Estonia","951251247","0.10578253878949534"
"Ethiopia","75285854","0.008372056064232716"
"Finland","9193954560","1.0224006096593927"
"Fiji","6210878","0.0006906718335706142"
"Falkland Islands","363004","0.000040367342310292885"
"France","92854640700","10.325767942601606"
"Faroe Islands","9274172","0.0010313210757141342"
"Micronesia","187506","0.000020851337415658718"
"Gabon","40267631","0.00447790449857732"
"United Kingdom","75028578483","8.343446107144649"
"Georgia","112033315","0.012458505076423043"
"Ghana","174042863","0.019354188459037386"
"Gibraltar","201474502","0.022404684766641106"
"Guinea","23884258","0.0026560148607545683"
"The Gambia","16704281","0.0018575757544664012"
"Guinea-Bissau","942958","0.00010486030007996924"
"Equatorial Guinea","5096002","0.0005666936373922523"
"Greece","7670560374","0.8529937310030364"
"Grenada","1464519","0.00016285974753150881"
"Greenland","2359757","0.000262413413042583"
"Guatemala","155045372","0.017241599555791944"
"Guam","7581497","0.0008430895654688613"
"Guyana","5262293","0.0005851857909776699"
"Hong Kong","4945614077","0.5499699628127023"
"Honduras","125803015","0.013989744934413698"
"Croatia","2662328072","0.2960603977496834"
"Haiti","14826984","0.0016488136179139503"
"Hungary","15486369920","1.7221396891066296"
"Indonesia","2053037789","0.2283051404517026"
"India","4014335108","0.44640841272510096"
"Ireland","5366791501","0.5968063978050863"
"Iran","4437055578","0.49341643994810097"
"Iraq","453974510","0.05048358818447587"
"Iceland","422233118","0.046953831938624055"
"Israel","2978964108","0.331271456726957"
"Italy","64262773594","7.1462501225271575"
"Jamaica","35555416","0.003953889347381474"
"Jordan","583289169","0.06486384048360148"
"Japan","15575718090","1.7320755249739705"
"Kazakhstan","1096300276","0.12191250927306742"
"Kenya","163698677","0.018203878001898238"
"Kyrgyzstan","45639507","0.0050752763108450815"
"Cambodia","9711972","0.0010800060005729407"
"Kiribati","612000","0.0000680565875139096"
"Saint Kitts and Nevis","3343974","0.00037186186139744835"
"South Korea","7824347978","0.8700954622615011"
"Kuwait","1392587165","0.1548606703685781"
"Laos","25422507","0.002827073647824313"
"Lebanon","717106186","0.07974477108541657"
"Liberia","185982495","0.020681918214089472"
"Libya","812225003","0.09032232352558006"
"Saint Lucia","4116706","0.0004577924218268575"
