"Name","Gross Export","Share"
"Aruba","53835495","0.00486981236306916"
"Afghanistan","252739997","0.02286217229046863"
"Angola","253751007","0.022953625503579912"
"Anguilla","2158366","0.0001952399143135608"
"Albania","150650414","0.013627426451613148"
"Andorra","39831990","0.0036030934116542844"
"Netherlands Antilles","31933241","0.0028885940737550008"
"United Arab Emirates","6747133959","0.6103273754392333"
"Argentina","1681164341","0.1520735509565356"
"Armenia","102655615","0.0092859475531054"
"Antigua and Barbuda","140997923","0.01275428838524608"
"Australia","6851487896","0.6197669485784334"
"Austria","61464924054","5.559949751614176"
"Azerbaijan","610163687","0.05519374655045823"
"Burundi","10218678","0.0009243538014951444"
"Belgium","57714688335","5.220713634832678"
"Benin","55444736","0.005015379924339987"
"Burkina Faso","22746998","0.002057631532562475"
"Bangladesh","375463075","0.03396336793245726"
"Bulgaria","2753800745","0.2491013208558789"
"Bahrain","482582476","0.04365309741881868"
"The Bahamas","18624439","0.0016847160650687327"
"Bosnia and Herzegovina","788062024","0.07128594596075517"
"Belarus","1936970273","0.17521305938308632"
"Belize","7250568","0.0006558666486799023"
"Bermuda","612519452","0.05540684264108553"
"Bolivia","63240667","0.005720578625780999"
"Brazil","7295514472","0.6599323842140873"
"Barbados","20823631","0.0018836489882333247"
"Brunei","45483480","0.004114311816384504"
"Bhutan","4545606","0.0004111831477808712"
"Botswana","24342289","0.0022019372147985715"
"Central African Republic","5869862","0.0005309717415454222"
"Canada","7934891600","0.7177686991323035"
"Cocos (Keeling) Islands","683003","0.0000617825925704468"
"Switzerland","43240058964","3.9113780549937665"
"Chile","1615550418","0.14613829405186948"
"China","34318211329","3.104331998960617"
"Côte d'Ivoire","130052504","0.011764195570734538"
"Cameroon","95929023","0.008677478347371856"
"Democratic Republic of the Congo","62959488","0.005695143938676601"
"Republic of the Congo","35807003","0.0032390040417359313"
"Cook Islands","5693003","0.0005149735577315639"
"Colombia","891282517","0.08062299084041112"
"Comoros","1268366","0.00011473293647056795"
"Cabo Verde","9531368","0.0008621816094263045"
"Costa Rica","161647179","0.014622163885545282"
"Cuba","515297669","0.04661242474239198"
"Christmas Island","841997","0.00007616475710434433"
"Cayman Islands","164624979","0.014891527569388949"
"Cyprus","914836810","0.0827536480816003"
"Czechia","28066610027","2.5388291590692247"
"Djibouti","16767998","0.0015167874645588184"
"Dominica","2459318","0.0002224632131852511"
"Denmark","17762034737","1.606705322492279"
"Dominican Republic","177528446","0.016058740077104443"
"Algeria","1341961245","0.12139016204198887"
"Ecuador","266353341","0.024093598339656314"
"Egypt","2362436890","0.21369961163898754"
"Eritrea","12473985","0.0011283627348413765"
"Spain","52030196618","4.706509984597627"
