"Name","Gross Export","Share"
"Aruba","10789358","0.0008204675522995018"
"Afghanistan","89583588","0.006812307754786431"
"Angola","373396900","0.028394649670464345"
"Anguilla","4067274","0.0003092923919394837"
"Albania","225680292","0.017161665854398087"
"Andorra","37594244","0.002858822309467369"
"United Arab Emirates","16303373272","1.2397761537528886"
"Argentina","2968251168","0.22571813544597347"
"Armenia","171034206","0.013006150723361738"
"Antigua and Barbuda","17386564","0.0013221464713636005"
"Australia","9378225008","0.7131591441518332"
"Austria","63790202814","4.850871716694485"
"Azerbaijan","770329177","0.05857902706704882"
"Burundi","8112638","0.0006169186565643596"
"Belgium","45251596665","3.441119179971306"
"Benin","75411899","0.005734633718409126"
"Bonaire","1667948","0.00012683768699887885"
"Burkina Faso","52006910","0.003954821236848429"
"Bangladesh","709551902","0.05395727088334598"
"Bulgaria","3827753983","0.2910782959687387"
"Bahrain","467758367","0.035570287170015306"
"The Bahamas","509443621","0.038740206855353676"
"Bosnia and Herzegovina","916454204","0.06969098045967778"
"Saint Barthélemy","811191","0.00006168632964235548"
"Belarus","1441811136","0.10964130151507477"
"Belize","15454363","0.0011752138897382018"
"Bermuda","463994868","0.035284095089577194"
"Bolivia","176429183","0.01341640716066803"
"Brazil","11053045824","0.8405194685978081"
"Barbados","20720999","0.0015757107448590012"
"Brunei","166746847","0.012680122154788961"
"Bhutan","60279790","0.004583925360010112"
"Botswana","83281080","0.0063330388944790785"
"Central African Republic","10808889","0.0008219527705825508"
"Canada","11106867331","0.8446122793201292"
"Switzerland","55454253298","4.216971525831902"
"Chile","2661051193","0.20235737463381778"
"China","79423103461","6.039662349944896"
"Côte d'Ivoire","171894387","0.013071562455886003"
"Cameroon","171910653","0.013072799390021074"
"Democratic Republic of the Congo","164542015","0.01251245758065289"
"Republic of the Congo","154151595","0.011722326929249554"
"Cook Islands","114488","0.00000870614258305873"
"Colombia","2024998896","0.15398931869813878"
"Comoros","1452565","0.00011045906995633343"
"Cabo Verde","6862946","0.0005218868913408616"
