"Name","Gross Export","Share"
"Aruba","4623000","0.0007698999484413852"
"Afghanistan","45304000","0.007544786343108049"
"Angola","52250000","0.008701551439771226"
"Anguilla","814969","0.00013572238613050557"
"Albania","64506334","0.010742682937647149"
"Andorra","34595029","0.005761347835480906"
"Netherlands Antilles","47746000","0.007951469378819463"
"United Arab Emirates","2879519392","0.4795461456709429"
"Argentina","539573251","0.08985884017418357"
"Armenia","40097483","0.006677709300092866"
"Antigua and Barbuda","92865000","0.015465446401040285"
"Australia","3693197258","0.6150535103867759"
"Austria","31258230991","5.205647940372011"
"Azerbaijan","118982020","0.019814893156706006"
"Burundi","3392453","0.000564968503091028"
"Belgium","28742269184","4.78664753684837"
"Benin","45801022","0.0076275588311405474"
"Burkina Faso","9445722","0.0015730609735651435"
"Bangladesh","148215531","0.02468335056783745"
"Bulgaria","1091581327","0.18178853717864565"
"Bahrain","222969161","0.03713258610381114"
"The Bahamas","556113022","0.09261332186142827"
"Bosnia and Herzegovina","409181000","0.06814372286463215"
"Belarus","800203630","0.13326340763132366"
"Belize","6922229","0.0011528063487344716"
"Bermuda","100104000","0.016671006800514046"
"Bolivia","31050927","0.005171124182642703"
"Brazil","4581762721","0.7630324210834005"
"Barbados","19512948","0.003249625277771886"
"Brunei","33793394","0.005627846051970455"
"Bhutan","2722000","0.00045331335921640727"
"Botswana","13512594","0.0022503451057558667"
"Central African Republic","3781804","0.0006298097998302886"
"Canada","5249522759","0.8742390874964262"
"Cocos (Keeling) Islands","390000","0.0000649493791676704"
"Switzerland","24521370639","4.083712306008695"
"Chile","671957132","0.11190563730945731"
"China","13709724991","2.2831746839101172"
"Côte d'Ivoire","82537677","0.013745566356645405"
"Cameroon","92305619","0.015372288840352617"
"Democratic Republic of the Congo","46278000","0.007706993254157566"
"Republic of the Congo","24991000","0.004161922909690387"
"Cook Islands","836957","0.0001393841988206049"
"Colombia","444316755","0.07399512151549721"
"Comoros","578331","0.00009631343436773842"
"Cabo Verde","16437474","0.0027374454650890352"
"Costa Rica","139729277","0.02327007639153191"
"Cuba","68230931","0.01136296566277476"
"Christmas Island","362000","0.00006028634681717098"
"Cayman Islands","5566000","0.000926944216531419"
"Cyprus","404918424","0.06743384680090135"
"Czechia","14632318994","2.436820601137465"
"Djibouti","15709000","0.0026161276854998316"
"Dominica","913368","0.00015210944756824813"
"Denmark","10382798863","1.7291188209606259"
"Dominican Republic","151001743","0.02514735759252851"
"Algeria","835009270","0.13905982996346067"
"Ecuador","198853837","0.03311649553399775"
"Egypt","1295460928","0.2157420077168568"
"Eritrea","12612000","0.002100363000160664"
"Spain","27454166115","4.572130883936778"
"Estonia","579383641","0.09648873790475493"
"Ethiopia","64022777","0.010662152868564633"
"Finland","6181090174","1.0293794086684303"
"Fiji","2868547","0.00047771883785457285"
"Falkland Islands","119000","0.000019817887489622506"
"France","63722640325","10.612169046239766"
"Faroe Islands","6349541","0.0010574326819222284"
"Micronesia","368000","0.00006128556803513514"
"Gabon","25998733","0.0043297476089641665"
"United Kingdom","50043528645","8.334092607313538"
"Georgia","63981324","0.01065524941570659"
"Ghana","135319747","0.022535727068656995"
"Gibraltar","124510336","0.02073556159784113"
"Guinea","25902006","0.004313638997172496"
"The Gambia","13565534","0.002259161567635704"
"Guinea-Bissau","2450000","0.0004080153306686986"
"Equatorial Guinea","4895000","0.0008151979769890938"
"Greece","4618938200","0.7692235089841974"
"Grenada","3402901","0.0005667084803052429"
"Greenland","2303481","0.00038361451506288346"
"Guatemala","128880967","0.021463432803023114"
"Guam","2911000","0.0004847888275822783"
"Guyana","4269051","0.0007109543899618525"
"Hong Kong","3948854284","0.6576298312035784"
"Honduras","35978393","0.005991728945642201"
"Croatia","1703203456","0.2836461719575144"
"Haiti","13495000","0.0022474150560710567"
"Hungary","10493965604","1.7476321820171468"
"Indonesia","1414710676","0.23560148745660334"
"India","2228070046","0.37105581084559697"
"Ireland","3639199855","0.606060951921349"
"Iran","2097280716","0.3492745652423776"
"Iraq","373814013","0.062253815560321724"
"Iceland","240779710","0.040098699181209535"
"Israel","2133791423","0.3553549440952563"
"Italy","43910520713","7.312720664714055"
"Jamaica","40141655","0.0066850655666995185"
"Jordan","399540103","0.066538158057531"
"Japan","11622967418","1.9356526099619513"
"Kazakhstan","575585893","0.09585627284107477"
"Kenya","121554036","0.020243228650063224"
"Kyrgyzstan","29115404","0.0048487882410664295"
"Cambodia","9987679","0.0016633167958358438"
"Kiribati","505000","0.00008410111917865013"
"Saint Kitts and Nevis","1369499","0.00022807207646344984"
"South Korea","5139344117","0.8558902813542799"
"Kuwait","775499901","0.1291493259347176"
"Laos","3699000","0.0006160198808749046"
"Lebanon","475505187","0.07918914535040261"
"Liberia","261017008","0.043468955440520145"
"Libya","482744000","0.08039467460748173"
"Saint Lucia","5084929","0.0008468281581068796"
"Sri Lanka","129867424","0.021627714263857994"
"Lesotho","3019884","0.0005029220280984132"
"Lithuania","1416875553","0.23596201929538377"
"Luxembourg","2681252306","0.4465273658117554"
"Latvia","817079285","0.1360738263884975"
"Macao","232657727","0.03874608955695217"
"Morocco","681790253","0.11354321449979213"
"Moldova","139169930","0.023176924493097814"
"Madagascar","15620491","0.0026013876737030327"
"Maldives","7494621","0.0012481307206332949"
"Mexico","4936490578","0.8221076879696266"
"Marshall Islands","368388992","0.06135034954513819"
"North Macedonia","238138665","0.03965886781427651"
"Mali","48755470","0.008119583352635844"
"Malta","238562903","0.03972951908278762"
"Myanmar","17754000","0.002956695583955949"
"Mongolia","34067000","0.005673411538730839"
"Northern Mariana Islands","5336000","0.0008886407365094597"
"Mozambique","38929654","0.006483222714133888"
"Mauritania","38036293","0.006334445169716942"
"Montserrat","1030106","0.00017155062865869817"
"Mauritius","76293969","0.012705758771249976"
"Malawi","12762561","0.002125436957793648"
"Malaysia","2397461900","0.3992657999567782"
"Mayotte","3288031","0.0005475783900873191"
"Namibia","42617796","0.007097434337678018"
"New Caledonia","29684180","0.0049435104156445595"
"Niger","49993787","0.008325808789463464"
"Norfolk Island","401000","0.00006678128473393802"
"Nigeria","710111565","0.11825975714495596"
"Nicaragua","20607235","0.0034318644092622775"
"Niue","1049000","0.0001746971762740673"
"Netherlands","36347803890","6.053249478881371"
"Norway","4297950422","0.7157672092367359"
"Nepal","29701000","0.004946311565792252"
"Nauru","548000","0.00009126220457405994"
"New Zealand","549308430","0.09148010641043008"
"Oman","254392837","0.042365786738083"
"Pakistan","528535000","0.08802056440611454"
"Panama","192624715","0.032079117055383195"
"Pitcairn","503000","0.00008376804543932875"
"Peru","194814653","0.0324438224746542"
"Philippines","746555114","0.12432895171474205"
"Palau","222000","0.000036971185064673915"
"Papua New Guinea","7444509","0.0012397852250208583"
"Poland","14990918820","2.4965406936203745"
"North Korea","139156000","0.02317460463450344"
"Portugal","6294169308","1.0482112536687322"
"Paraguay","33551742","0.005587602084343209"
"Palestine","10754000","0.001790937496331096"
"French Polynesia","21974404","0.003659548454819418"
"Qatar","324046568","0.053965701059010995"
"Romania","3070837371","0.5114076430034131"
"Russia","10630138167","1.7703099343928403"
"Rwanda","17363698","0.002891695910653641"
"Saudi Arabia","3247713208","0.5408639912160081"
"Serbia and Montenegro","793515901","0.13214965417852462"
"Sudan","103984362","0.017317230141144353"
"Senegal","45307027","0.007545290450212513"
"Singapore","3532294557","0.5882572782422855"
"Saint Helena, Ascension and Tristan da Cunha","253000","0.00004213382802415541"
"Solomon Islands","546000","0.00009092913083473855"
"Sierra Leone","113637726","0.01892487116339958"
"El Salvador","74664840","0.01243444872731652"
"Somalia","1362000","0.0002268232164778643"
"Saint Pierre and Miquelon","174000","0.000028977415320960637"
"Sao Tome and Principe","5482270","0.0009130000844347291"
"Suriname","10962743","0.001825700902114678"
"Slovakia","3829174339","0.6376987078021145"
"Slovenia","2218683155","0.36949254740261084"
"Sweden","12552516807","2.0904568554010217"
"Eswatini","2615863","0.0004356376354812302"
"Seychelles","6611881","0.0011011219643090146"
"Syria","472836644","0.07874473455262765"
"Turks and Caicos Islands","559000","0.00009309411014032756"
"Chad","22189000","0.0036952866009011243"
"Togo","41753674","0.00695352616479308"
"Thailand","1965897512","0.3273944177222253"
"Tajikistan","11605000","0.0019326603724123459"
"Tokelau","6908000","0.0011504366956160694"
"Turkmenistan","152150000","0.02533858471887449"
"Timor-Leste","7706000","0.0012833331176053027"
"Tonga","307150","0.00005115179951628196"
"Trinidad and Tobago","83451565","0.013897762403385878"
"Tunisia","921971286","0.1535422118874838"
"Turkiye","6938528916","1.1555208857208437"
"Tuvalu","694000","0.00011557658754452118"
"Tanzania","48128031","0.008015091625672807"
"Uganda","25521431","0.0042502592280013775"
"Ukraine","2123088293","0.35357247832948485"
"Uruguay","72293437","0.012039522694992543"
"United States of America","63393320940","10.55732522674328"
"Uzbekistan","201711002","0.03359231884920185"
"Saint Vincent and the Grenadines","1565838","0.0002607697589157607"
"Venezuela","546228545","0.09096719200361515"
"British Virgin Islands","25322000","0.004217046613548076"
"Vietnam","497932953","0.08292419529352513"
"Vanuatu","466000","0.00007760618126188308"
"Samoa","911328","0.00015176971235414033"
"Yemen","114597000","0.019084625652506473"
"South Africa","4105009229","0.6836353869259162"
"Zambia","11239964","0.0018718684196588854"
"Zimbabwe","41182391","0.00685838648228271"
"Taiwan","3886594663","0.6472613088159773"
