"Name","Gross Export","Share"
"Aruba","12698148","0.0008635777866315402"
"Afghanistan","395942810","0.026927345270544367"
"Angola","352589749","0.02397898300054388"
"Albania","225751460","0.015352943291859463"
"Andorra","48342613","0.0032876925622953137"
"United Arab Emirates","10773188619","0.732664825024887"
"Argentina","3749246773","0.2549794056395298"
"Armenia","175896719","0.01196241367400742"
"Antigua and Barbuda","17164537","0.001167328721559646"
"Australia","11675321442","0.794017225905236"
"Austria","79123071218","5.381015145982718"
"Azerbaijan","1207011259","0.0820866248752628"
"Burundi","12702899","0.0008639008934392641"
"Belgium","64339108087","4.3755848928220775"
"Benin","116714054","0.007937509030617225"
"Burkina Faso","55664347","0.003785630280616513"
"Bangladesh","627265759","0.04265919532415066"
"Bulgaria","3297827581","0.22427921324372863"
"Bahrain","666365438","0.045318292875133975"
"The Bahamas","78318251","0.005326280797123596"
"Bosnia and Herzegovina","1043875549","0.07099206404935615"
"Belarus","3051778511","0.20754586667434313"
"Belize","27490782","0.0018695977297106777"
"Bermuda","132995088","0.009044752331435016"
"Bolivia","119794115","0.0081469783375642"
"Brazil","15627127875","1.0627723429984075"
"Barbados","37162098","0.0025273262161871466"
"Brunei","482023413","0.03278152940910129"
"Bhutan","9206849","0.0006261409365578988"
"Botswana","32240598","0.0021926240157633427"
"Central African Republic","3462842","0.00023550154162754568"
"Canada","10297659293","0.7003249465776151"
"Switzerland","67278659328","4.5754983884273255"
"Chile","3170643229","0.2156296384242883"
"China","90646332078","6.16469101023132"
"Côte d'Ivoire","138754347","0.0094364289869487"
"Cameroon","175353160","0.01192544722203949"
"Democratic Republic of the Congo","160579796","0.010920737796364025"
"Republic of the Congo","78271481","0.005323100055090919"
"Cook Islands","481208","0.00003272607466454085"
"Colombia","1805264628","0.1227727406967103"
"Comoros","1838953","0.00012506382517036584"
"Cabo Verde","19436929","0.0013218699392017162"
"Costa Rica","262010897","0.01781888118681594"
"Cuba","217793343","0.014811726331353503"
"Curaçao","39457618","0.002683440326746295"
"Cayman Islands","154883806","0.010533363949652253"
"Cyprus","1032201520","0.07019813472006402"
"Czechia","41413234499","2.8164382227943285"
"Djibouti","10311191","0.0007012452131850295"
"Dominica","1057081","0.00007189014258380474"
"Denmark","20338384798","1.3831762968519032"
"Dominican Republic","232585386","0.015817706081605157"
"Algeria","2209729448","0.15027965225782333"
"Ecuador","580134924","0.03945391356405491"
"Egypt","3362709846","0.22869173724331826"
"Eritrea","34004755","0.0023126011019754845"
"Spain","48411738061","3.292393631079451"
"Estonia","2156509993","0.14666029460388538"
"Ethiopia","173110462","0.011772925438947738"
"Finland","11753833490","0.799356686481357"
"Fiji","49897986","0.0033934706310913662"
"France","140469338365","9.553062408379835"
"Faroe Islands","21323159","0.0014501489865461014"
"Gabon","112399204","0.0076440639855093005"
"United Kingdom","89388622792","6.079156505401969"
"Georgia","483879386","0.03290775073329659"
"Ghana","387582674","0.026358787734215555"
"Gibraltar","139154077","0.009463613892074254"
"Guinea","34505448","0.002346652315799887"
"The Gambia","11949189","0.0008126424568891422"
"Guinea-Bissau","6632902","0.0004510915157158284"
"Equatorial Guinea","52888742","0.0035968664685658547"
"Greece","7055152651","0.47980800906543397"
"Grenada","2568217","0.00017465973403755366"
"Greenland","5831082","0.00039656120618747034"
"Guatemala","285508013","0.01941687700695479"
"Guam","4532725","0.0003082623247822791"
"Guyana","13092924","0.0008904257792911983"
"Hong Kong","8255755239","0.5614587919645732"
"Honduras","165377281","0.011247005963792692"
"Croatia","3200172525","0.21763787175724894"
"Haiti","22115733","0.0015040504925501034"
"Hungary","21954012203","1.4930521573656697"
"Indonesia","2981827589","0.20278863259630314"
"India","15189896219","1.033037018939047"
"Ireland","6212610591","0.42250826682595327"
"Iran","4383526584","0.29811561379275436"
"Iraq","1614676712","0.10981120562419439"
"Iceland","439470948","0.02988761420663113"
"Israel","4892645446","0.3327398550583569"
"Italy","85791390227","5.8345153076082745"
"Jamaica","46284334","0.0031477127775983503"
"Jordan","967356507","0.06578814416076093"
"Japan","21395162842","1.4550458359530642"
"Kazakhstan","2519736403","0.17136265743615983"
"Kenya","353973819","0.02407311106608093"
"Kyrgyzstan","96224568","0.006544056617785217"
"Cambodia","46791415","0.0031821984276020287"
"Saint Kitts and Nevis","6679703","0.0004542743660017239"
"South Korea","16347898850","1.1117906567917857"
"Kuwait","1485171386","0.10100378561427828"
"Laos","39186201","0.0026649817537233497"
"Lebanon","1021558620","0.06947433058537122"
"Liberia","441637929","0.030034986615241628"
"Libya","451565893","0.030710169262103015"
"Saint Lucia","3325769","0.00022617945797038987"
"Sri Lanka","316483219","0.02152344403058186"
"Lesotho","1929520","0.00013122312095128276"
"Lithuania","3071465968","0.2088847745639396"
"Luxembourg","8256629761","0.5615182666039553"
"Latvia","1840059293","0.12513906213092937"
"Macao","72961053","0.004961947573775836"
"Morocco","2162707502","0.1470817758391686"
"Moldova","506493628","0.03444570390983147"
"Madagascar","43676314","0.002970346114436857"
"Maldives","24903060","0.0016936114963498961"
"Mexico","10598178787","0.720762726911263"
"Marshall Islands","98028095","0.006666711185584413"
"North Macedonia","741972612","0.05046019829129275"
"Mali","115973830","0.007887167752225168"
"Malta","449780745","0.03058876461642951"
"Myanmar","59899641","0.004073664867884974"
"Montenegro","89503396","0.00608696202105112"
"Mongolia","202930781","0.01380095071307956"
"Northern Mariana Islands","5723756","0.0003892621615135528"
"Mozambique","80615096","0.005482485018505779"
"Mauritania","218495876","0.014859504313873128"
"Montserrat","575556","0.00003914250932990407"
"Mauritius","140118118","0.009529176554676869"
"Malawi","22780868","0.0015492851055906168"
"Malaysia","6075518545","0.41318488788522356"
"Mayotte","5216829","0.0003547869847677969"
"Namibia","223564899","0.015204239283313112"
"New Caledonia","70640115","0.004804104831594139"
"Niger","31224005","0.002123487387898782"
"Norfolk Island","146971","0.00000999522850726138"
"Nigeria","1823746874","0.12402968439374862"
"Nicaragua","37056756","0.002520162099719191"
"Netherlands","93442440817","6.354849244015233"
