"Name","Gross Export","Share"
"Aruba","10842329","0.0007558229483645943"
"Afghanistan","94312267","0.006574544612222044"
"Angola","290831849","0.02027400068652284"
"Anguilla","351175","0.00002448054508325069"
"Albania","310003914","0.02161049275335992"
"Andorra","44939371","0.00313274093480011"
"United Arab Emirates","12652905461","0.8820389337854898"
"Argentina","3389825059","0.23630601603526002"
"Armenia","180403059","0.012575967022156572"
"Antigua and Barbuda","15314906","0.001067608021011594"
"Australia","10741989234","0.7488282244656669"
"Austria","69852896949","4.869472465168816"
"Azerbaijan","418870791","0.02919964485835375"
"Burundi","11753638","0.0008193506512456995"
"Belgium","49730248928","3.4667148882556655"
"Benin","37909509","0.002642686535654297"
"Bonaire","920622","0.00006417691571334069"
"Burkina Faso","103434544","0.0072104620703565955"
"Bangladesh","820914235","0.05722624884857907"
"Bulgaria","4214017536","0.2937607924016715"
"Bahrain","510597276","0.035593933607184436"
"The Bahamas","36071683","0.002514570974329686"
"Bosnia and Herzegovina","981200119","0.06839983982023334"
"Saint Barthélemy","1131378","0.00007886879799301773"
"Belarus","1666473293","0.1161704978410187"
"Belize","5045180","0.0003517014492578194"
"Bermuda","21978445","0.0015321259021349634"
"Bolivia","189141684","0.013185139950975885"
"Brazil","9683139567","0.6750154046197824"
"Barbados","17264951","0.0012035464122321182"
"Brunei","58850525","0.004102492860925384"
"Bhutan","2473889","0.00017245575908153476"
"Botswana","73292504","0.005109248803121896"
"Central African Republic","18367050","0.001280374159810122"
"Canada","10975821954","0.7651287938225377"
"Switzerland","62305578893","4.343346004209067"
"Chile","2599870194","0.181237956844356"
"China","97474126402","6.794959054131524"
"Côte d'Ivoire","249340228","0.01738160373780026"
"Cameroon","136975424","0.009548609788650613"
"Democratic Republic of the Congo","83711658","0.005835572058553893"
"Republic of the Congo","60796686","0.004238160497003591"
"Cook Islands","1279308","0.00008918105551181968"
"Colombia","1890869701","0.1318132582384374"
"Comoros","1610922","0.0001122979957189446"
"Cabo Verde","13060108","0.0009104251802836848"
"Costa Rica","269500364","0.018786974616229718"
"Cuba","276807990","0.019296392051253667"
"Curaçao","31054698","0.002164835009427593"
"Cayman Islands","719166952","0.050133406395159064"
"Cyprus","676246124","0.047141378873654265"
"Czechia","46635441882","3.2509746920185623"
"Djibouti","22034529","0.0015360355394680564"
"Dominica","1463454","0.00010201794439884263"
"Denmark","20648134706","1.4393894569808963"
"Dominican Republic","267348853","0.018636991952222858"
"Algeria","3545866239","0.24718370704923778"
"Ecuador","514547762","0.03586932351427848"
"Egypt","4946167255","0.34479923250608907"
"Eritrea","10425386","0.0007267576905625133"
"Spain","48515960887","3.3820663992352262"
"Estonia","1991847990","0.13885249382267323"
"Ethiopia","377140806","0.026290631462992816"
"Finland","12457222082","0.8683977697457594"
"Fiji","13565278","0.000945640776381658"
"Falkland Islands","645764","0.000045016458219236274"
"France","118921216489","8.290043999755051"
"Faroe Islands","61498953","0.004287115801207988"
"Gabon","45204629","0.003151232172580969"
"United Kingdom","95818816491","6.679566759967681"
"Georgia","407827426","0.028429807612669142"
"Ghana","302769763","0.021106197289005844"
"Gibraltar","245724163","0.01712952644796908"
"Guinea","139988199","0.009758631499231351"
"The Gambia","12500241","0.0008713966351591051"
"Guinea-Bissau","5243754","0.0003655441196055418"
"Equatorial Guinea","17093332","0.0011915827853604946"
"Greece","5890429467","0.41062411654190034"
"Grenada","5079216","0.00035407411198282407"
"Greenland","10588844","0.0007381524109674908"
"Guatemala","337905172","0.02355550024064805"
"Guam","5113907","0.0003564924350111804"
"Guyana","12878646","0.0008977753940748236"
"Hong Kong","7817901069","0.5449889074565338"
"Honduras","138267705","0.009638695197010343"
"Croatia","3701244419","0.25801518007676943"
"Haiti","29837299","0.0020799696542519565"
"Hungary","28100255808","1.95887970145546"
"Indonesia","3049389597","0.2125741283000047"
"India","12113689646","0.8444499907550653"
"Ireland","8837497846","0.616065393157639"
"Iran","3401237793","0.23710160213680523"
"Iraq","759131130","0.052919324701542085"
"Iceland","732625084","0.051071577982437034"
"Israel","5014149672","0.349538313090518"
"Italy","73533702254","5.126062826702869"
"Jamaica","77233037","0.005383944882736154"
"Jordan","853634054","0.05950716008697959"
"Japan","22098329744","1.540483114010199"
"Kazakhstan","1479591100","0.10314286788161596"
"Kenya","352111248","0.02454581129346811"
"Kyrgyzstan","73480251","0.005122336719111773"
"Cambodia","286370017","0.019962964651981968"
"Saint Kitts and Nevis","38230310","0.002665049697448992"
"South Korea","19741685808","1.3762005536900814"
"Kuwait","1502049263","0.10470843511108416"
"Laos","33949371","0.0023666237839068942"
"Lebanon","945128365","0.06588526389646619"
"Liberia","169301936","0.011802103443951373"
"Libya","337025089","0.023494149314305053"
"Saint Lucia","5752968","0.00040104162450771994"
"Sri Lanka","647760462","0.045155632357480734"
"Lesotho","2155756","0.00015027858459881307"
"Lithuania","3673337329","0.25606976603850556"
"Luxembourg","6516504603","0.45426805643611345"
"Latvia","2022870149","0.14101506052582485"
"Macao","79647185","0.00555223607360008"
"Morocco","2381295897","0.16600105805671928"
"Moldova","422779984","0.029472156214445804"
"Madagascar","47838735","0.0033348567207038735"
"Maldives","52065761","0.003629524338162613"
"Mexico","14566686678","1.0154493626663808"
"Marshall Islands","446051754","0.031094440302584316"
"North Macedonia","1181557787","0.08236685035415225"
"Mali","125529703","0.008750724150576122"
"Malta","719289898","0.050141977008374146"
"Myanmar","135799067","0.009466605487169875"
"Montenegro","124580017","0.008684521172180928"
"Mongolia","118894392","0.008288174054251245"
"Northern Mariana Islands","663411","0.0000462466374150336"
"Mozambique","65067770","0.004535899414683809"
"Mauritania","77981804","0.0054361417199265865"
"Mauritius","142453590","0.009930494859445888"
"Malawi","28268315","0.001970595172734482"
"Malaysia","5683869732","0.3962247575184738"
"Namibia","77561476","0.0054068404924652"
"New Caledonia","45380261","0.0031634755472348067"
"Niger","14603507","0.0010180161215549714"
"Nigeria","1064363348","0.07419718068106683"
"Nicaragua","68595044","0.004781787049560946"
"Netherlands","89748496683","6.256402418173722"
"Norway","10149941319","0.7075563353089727"
"Nepal","180022911","0.012549466758036667"
"New Zealand","1502852028","0.10476439616974081"
"Oman","1046343491","0.07294100947957974"
"Pakistan","1364036396","0.09508750476962424"
"Panama","455842688","0.031776970098823035"
"Peru","995134384","0.06937120282310787"
"Philippines","2321802741","0.1618537671402165"
"Papua New Guinea","28703635","0.002000941498314722"
"Poland","66400886786","4.628831501480738"
"North Korea","4451416","0.0003103099311519996"
"Portugal","10092095450","0.7035238774064048"
"Paraguay","195833175","0.013651606376830988"
"Palestine","101385240","0.00706760429585304"
"French Polynesia","30098097","0.002098149983707702"
"Qatar","2481716030","0.17300138437030235"
"Romania","17044256808","1.1881617347440636"
"Russia","29850603582","2.080897121809342"
"Rwanda","45292290","0.003157343054797934"
"Saudi Arabia","7460894347","0.5201018307769737"
"Sudan","263456430","0.018365649639317378"
"Senegal","134858998","0.009401072913564503"
"Singapore","7915535611","0.5517950491440502"
"Solomon Islands","495573","0.0000345465855158875"
"Sierra Leone","24955549","0.0017396609735082843"
"El Salvador","130658890","0.009108281760297552"
"San Marino","49671561","0.0034626237300945024"
"Somalia","15354747","0.001070385352531952"
"Saint Pierre and Miquelon","264558","0.00001844244051010077"
"Serbia","2907990284","0.20271712749801943"
"South Sudan","5109126","0.0003561591496519065"
"Sao Tome and Principe","288476","0.00002010977354149876"
"Suriname","22784967","0.0015883488627148267"
"Slovakia","14608402371","1.0183573797608936"
"Slovenia","5893667814","0.4108498629638515"
"Sweden","30060974118","2.0955621332444827"
"Eswatini","10583411","0.0007377736744360256"
"St-Martin / St Maarten","5642485","0.00039333981184328545"
"Seychelles","22599967","0.0015754524411574794"
"Syria","91112034","0.006351455131953215"
"Turks and Caicos Islands","1098896","0.00007660446520909476"
"Chad","12240921","0.0008533193376550442"
